date,articles_week
2012-01-02,10
2012-01-09,79
2012-01-16,25
2012-01-23,23
2012-01-30,13
2012-02-06,16
2012-02-13,16
2012-02-20,14
2012-02-27,21
2012-03-05,13
2012-03-12,15
2012-03-19,10
2012-03-26,22
2012-04-02,10
2012-04-09,17
2012-04-16,16
2012-04-23,15
2012-04-30,13
2012-05-07,14
2012-05-14,16
2012-05-21,15
2012-05-28,22
2012-06-04,11
2012-06-11,16
2012-06-18,12
2012-06-25,26
2012-07-02,18
2012-07-09,5
2012-07-16,23
2012-07-23,19
2012-07-30,40
2012-08-06,41
2012-08-13,63
2012-08-20,70
2012-08-27,55
2012-09-03,56
2012-09-10,46
2012-09-17,68
2012-09-24,62
2012-10-01,57
2012-10-08,40
2012-10-15,63
2012-10-22,63
2012-10-29,64
2012-11-05,41
2012-11-12,31
2012-11-19,29
2012-11-26,47
2012-12-03,66
2012-12-10,61
2012-12-17,66
2012-12-24,21
2012-12-31,28
2013-01-07,75
2013-01-14,61
2013-01-21,76
2013-01-28,75
2013-02-04,34
2013-02-11,28
2013-02-18,55
2013-02-25,81
2013-03-04,63
2013-03-11,62
2013-03-18,64
2013-03-25,61
2013-04-01,29
2013-04-08,41
2013-04-15,73
2013-04-22,93
2013-04-29,52
2013-05-06,62
2013-05-13,48
2013-05-20,56
2013-05-27,35
2013-06-03,69
2013-06-10,40
2013-06-17,61
2013-06-24,46
2013-07-01,37
2013-07-08,37
2013-07-15,59
2013-07-22,60
2013-07-29,48
2013-08-05,47
2013-08-12,50
2013-08-19,46
2013-08-26,30
2013-09-02,56
2013-09-09,66
2013-09-16,74
2013-09-23,39
2013-09-30,19
2013-10-07,16
2013-10-14,23
2013-10-21,16
2013-10-28,24
2013-11-04,18
2013-11-11,21
2013-11-18,16
2013-11-25,12
2013-12-02,24
2013-12-09,58
2013-12-16,62
2013-12-23,25
2013-12-30,39
2014-01-06,90
2014-01-13,74
2014-01-20,77
2014-01-27,85
2014-02-03,88
2014-02-10,77
2014-02-17,86
2014-02-24,93
2014-03-03,83
2014-03-10,75
2014-03-17,88
2014-03-24,110
2014-03-31,73
2014-04-07,77
2014-04-14,72
2014-04-21,70
2014-04-28,80
2014-05-05,74
2014-05-12,63
2014-05-19,79
2014-05-26,77
2014-06-02,53
2014-06-09,63
2014-06-16,85
2014-06-23,78
2014-06-30,64
2014-07-07,67
2014-07-14,71
2014-07-21,81
2014-07-28,68
2014-08-04,66
2014-08-11,74
2014-08-18,58
2014-08-25,75
2014-09-01,64
2014-09-08,86
2014-09-15,88
2014-09-22,90
2014-09-29,76
2014-10-06,69
2014-10-13,62
2014-10-20,92
2014-10-27,93
2014-11-03,14
